id;first_name;last_name;email;phone_number;created_dt;salary
1;Elinor;Upton;Jaleel_Schinner5@yahoo.com;Industrial Common;2022-08-13;56837
2;Jakayla;Ebert;Heaven.Kemmer57@yahoo.com;mindshare visionary Brazilian;2022-08-13;64968
3;Ofelia;Ledner;Princess_Marvin@gmail.com;Grocery systems envisioneer;2022-08-13;71163
4;Ayden;Keeling;Flavie48@gmail.com;system;2022-08-13;17775
5;Kiera;Quigley;Bennie.Krajcik@yahoo.com;services parsing Electronics;2022-08-13;93953
6;Bernhard;Corkery;Alexandro98@hotmail.com;Data azure;2022-08-14;1771
7;John;Maggio;Kristy_Zemlak@hotmail.com;Knolls;2022-08-14;63839
8;Stephanie;Larkin;Cathrine41@gmail.com;Berkshire Fiji systemic;2022-08-13;24743
9;Lavada;Schiller;Kali_Will@gmail.com;District Argentine payment;2022-08-13;77139
10;Nikko;Schulist;Destany.Romaguera66@hotmail.com;1080p services;2022-08-14;85690
